model_name,F1_Score,ROC_AUC,Recall,Statistical_Parity_Diff_(ATE),Equal_Opportunity_Diff,DIR_dist,DOFS
CFFair,0.839035,0.9052512500000001,0.82652375,0.24117125,0.11460875,0.35604578291627115,0.7922252983376511
CLAIRE,0.8549275,0.9202637499999999,0.84400125,0.32302624999999996,0.1528075,0.46270658753293625,0.7655177295825005
SRCVAE,0.63884875,0.7105575,0.66986,0.14950875,0.13946,0.2708664760667676,0.7023488001021703
XGBoost,0.86146625,0.9199175,0.85352125,0.33307125000000004,0.15553250000000002,0.4667223164047063,0.764695748139822
FairPFN,0.7848200000000001,0.8631437500000001,0.7912425,0.08085375,0.10600499999999999,0.14659554442202244,0.8202379401751108
