model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.9843,0.9167,0.9178,0.9153,0.9166,0.0269,0.9475,0.1363,0.4852,0.5121
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.7471,0.6266,0.593,0.8071,0.6837,0.0215,0.9689,0.1565,0.6698,0.6913
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.8144,0.7342,0.7346,0.7333,0.734,0.0229,0.9552,0.1388,0.4877,0.5106
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.9723,0.9082,0.9048,0.9124,0.9086,0.0012,0.9977,0.0846,0.5036,0.5048
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.8494,0.7589,0.7708,0.7369,0.7535,0.0226,1.0484,0.0333,0.4893,0.4667
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.9645,0.8906,0.8997,0.8791,0.8893,0.0927,0.8266,0.1392,0.442,0.5348
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.7466,0.679,0.6575,0.7473,0.6995,0.0432,1.0791,0.0058,0.5901,0.5468
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,3,6,20,10000,0.6328,0.5893,0.5903,0.5838,0.587,0.0082,1.0167,0.0475,0.4986,0.4904
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,3,6,20,10000,0.8067,0.7359,0.7475,0.7124,0.7295,0.0625,0.8768,0.0758,0.4452,0.5078
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,3,6,20,10000,0.9158,0.8226,0.8025,0.8558,0.8283,0.0669,0.882,0.1404,0.4998,0.5667
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,3,6,20,10000,0.9866,0.9317,0.93,0.9336,0.9318,0.0465,0.9115,0.1099,0.4787,0.5252
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,3,6,20,10000,0.9896,0.9464,0.9402,0.9536,0.9468,0.0912,1.1975,0.0626,0.553,0.4618
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,3,6,20,10000,0.7118,0.6587,0.653,0.6773,0.6649,0.0769,1.1601,0.0308,0.5571,0.4802
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,3,6,20,10000,0.9794,0.926,0.9347,0.916,0.9253,0.0909,1.2044,0.0175,0.5355,0.4446
