model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,9000,20,6139,2861,0.6393,2.8399,0.3435,0.9867,0.3475
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,19000,10,10802,8198,0.3917,1.832,0.1033,0.8624,0.4707
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,19000,10,6824,12176,0.6042,0.3103,0.3472,0.2718,0.876
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,19000,10,8846,10154,0.6973,0.1936,0.1199,0.1674,0.8647
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,19000,10,10072,8928,0.414,2.2862,0.1065,0.7359,0.3219
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,19000,10,11543,7457,0.036,0.9287,0.0142,0.4682,0.5041
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,19000,10,5765,13235,0.44,0.4649,0.3243,0.3822,0.8222
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,19000,10,13000,6000,0.6737,0.0365,0.5302,0.0255,0.6992
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,19000,10,10116,8884,0.7236,5.455,0.334,0.886,0.1624
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,19000,10,10300,8700,0.7273,6.3972,0.3442,0.8621,0.1348
