model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.9936,0.9582,0.9617,0.9544,0.9581,0.1051,1.2369,0.0091,0.5488,0.4437
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.7705,0.6956,0.7025,0.6784,0.6903,0.3257,2.019,0.0681,0.6452,0.3196
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.8297,0.7521,0.7497,0.7569,0.7533,0.0773,1.1659,0.0357,0.5434,0.4661
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.969,0.9073,0.9309,0.88,0.9047,0.0334,1.0732,0.075,0.4893,0.4559
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.834,0.7508,0.7729,0.7102,0.7402,0.0385,1.0875,0.058,0.4786,0.4401
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.954,0.8749,0.8759,0.8736,0.8747,0.0778,0.8553,0.1498,0.4597,0.5374
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.7449,0.6742,0.6525,0.7453,0.6959,0.0382,1.0691,0.0126,0.5903,0.5521
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,3,6,20,10000,0.6948,0.6474,0.6692,0.5831,0.6232,0.626,0.1631,0.6097,0.122,0.7481
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,3,6,20,10000,0.8031,0.7426,0.7638,0.7022,0.7317,0.1684,0.6903,0.1778,0.3753,0.5437
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,3,6,20,10000,0.9053,0.8217,0.8472,0.7849,0.8149,0.0398,1.0897,0.0766,0.4831,0.4433
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,3,6,20,10000,0.9897,0.9423,0.9508,0.9329,0.9418,0.0811,0.8474,0.0882,0.4502,0.5312
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,3,6,20,10000,0.9909,0.9487,0.9631,0.9331,0.9479,0.0945,1.2159,0.0668,0.532,0.4375
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,3,6,20,10000,0.7149,0.6562,0.6445,0.6967,0.6696,0.1133,1.2343,0.0103,0.5971,0.4838
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,3,6,20,10000,0.9777,0.9222,0.936,0.9064,0.921,0.0424,1.0917,0.0661,0.5054,0.463
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,3,6,20,10000,0.8426,0.7652,0.8038,0.7018,0.7493,0.147,1.4047,0.169,0.5101,0.3632
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,3,6,20,10000,0.9502,0.8858,0.9253,0.8393,0.8802,0.2634,1.8174,0.0673,0.5855,0.3222
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_0_18_nodes_full_data.csv,3,16,0,20000,0.9979,0.9764,0.9758,0.9769,0.9764,0.2051,0.6601,0.0032,0.3982,0.6032
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_1_18_nodes_full_data.csv,3,16,0,20000,0.9714,0.9033,0.9001,0.9074,0.9037,0.2687,1.7268,0.0364,0.6385,0.3697
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_2_18_nodes_full_data.csv,3,16,0,20000,0.8791,0.7913,0.7736,0.8235,0.7978,0.5544,0.3145,0.4136,0.2544,0.8088
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_3_18_nodes_full_data.csv,3,16,0,20000,0.9218,0.8415,0.8548,0.8228,0.8385,0.0358,0.9283,0.0166,0.4634,0.4992
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_4_18_nodes_full_data.csv,3,16,0,20000,0.8731,0.7898,0.8179,0.7456,0.7801,0.1941,0.6488,0.067,0.3586,0.5527
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_5_18_nodes_full_data.csv,3,16,0,20000,0.9806,0.9291,0.9347,0.9226,0.9286,0.6067,4.1857,0.156,0.7972,0.1905
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_6_18_nodes_full_data.csv,3,16,0,20000,0.9575,0.8937,0.8886,0.9002,0.8944,0.4539,0.3811,0.0472,0.2795,0.7334
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_7_18_nodes_full_data.csv,3,16,0,20000,0.8952,0.8131,0.8027,0.8301,0.8162,0.2739,0.5812,0.1597,0.38,0.6538
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_8_18_nodes_full_data.csv,3,16,0,20000,0.8585,0.7873,0.7907,0.7815,0.7861,0.3012,0.5331,0.1253,0.3439,0.6451
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_9_18_nodes_full_data.csv,3,16,0,20000,0.9834,0.9358,0.9488,0.9213,0.9348,0.1059,1.2448,0.0434,0.5384,0.4325
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,3,16,10,20000,0.9782,0.927,0.9554,0.8958,0.9246,0.547,3.8018,0.2735,0.7422,0.1952
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,3,16,10,20000,0.9681,0.9027,0.9164,0.8863,0.9011,0.5195,0.3008,0.1851,0.2235,0.743
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,3,16,10,20000,0.9832,0.9266,0.9209,0.9334,0.9271,0.1076,1.2375,0.0528,0.5606,0.4531
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,3,16,10,20000,0.9503,0.8772,0.8863,0.8655,0.8758,0.3952,0.4236,0.0179,0.2904,0.6856
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,3,16,10,20000,0.8374,0.7684,0.7865,0.7367,0.7608,0.0966,0.813,0.0357,0.42,0.5166
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,3,16,10,20000,0.8853,0.8113,0.8374,0.7726,0.8037,0.3709,2.3456,0.2848,0.6466,0.2757
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,3,16,10,20000,0.9891,0.9448,0.9555,0.9331,0.9441,0.4796,0.3415,0.0214,0.2487,0.7282
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,3,16,10,20000,0.9813,0.9252,0.9169,0.9352,0.9259,0.4557,2.6191,0.0104,0.7372,0.2815
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,3,16,10,20000,0.9922,0.9559,0.9653,0.9459,0.9555,0.408,0.4121,0.0085,0.286,0.694
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,3,16,10,20000,0.9717,0.9125,0.9104,0.9149,0.9127,0.5206,0.3172,0.0099,0.2419,0.7625
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,3,16,20,20000,0.8559,0.774,0.756,0.8091,0.7817,0.043,0.9227,0.0159,0.5135,0.5566
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,3,16,20,20000,0.9175,0.8449,0.8657,0.8164,0.8403,0.2814,1.851,0.1254,0.6121,0.3307
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,3,16,20,20000,0.9111,0.8258,0.825,0.8269,0.826,0.3704,0.4603,0.1988,0.3159,0.6863
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,3,16,20,20000,0.9619,0.9008,0.9073,0.8927,0.9,0.1027,0.8109,0.03,0.4406,0.5434
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,3,16,20,20000,0.9886,0.9439,0.9372,0.9517,0.9444,0.6107,4.0147,0.1229,0.8133,0.2026
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,3,16,20,20000,0.9812,0.9385,0.9567,0.9185,0.9372,0.2785,1.8166,0.0199,0.6196,0.3411
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,3,16,20,20000,0.9528,0.8817,0.8854,0.8769,0.8812,0.2637,1.7254,0.021,0.6272,0.3635
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,3,16,20,20000,0.9689,0.9016,0.9062,0.896,0.9011,0.1111,0.798,0.0493,0.4389,0.5501
