model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,9000,20,6139,2861,0.0163,1.0294,0.0603,0.5704,0.5542
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,19000,10,10802,8198,0.0471,1.0972,0.2041,0.5318,0.4847
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,19000,10,6824,12176,0.2928,0.5402,0.111,0.344,0.6367
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,19000,10,8846,10154,0.2256,0.7683,0.0079,0.748,0.9735
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,19000,10,10072,8928,0.4497,2.1458,0.1773,0.8422,0.3925
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,19000,10,11543,7457,0.022,0.9625,0.0067,0.5648,0.5868
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,19000,10,5765,13235,0.2025,0.6953,0.0805,0.462,0.6645
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,19000,10,13000,6000,0.011,0.9761,0.0635,0.4492,0.4602
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,19000,10,10116,8884,0.2208,1.7566,0.3067,0.5126,0.2918
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,19000,10,10300,8700,0.3731,1.9642,0.0537,0.7601,0.387
