model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.9969,0.9702,0.9747,0.9656,0.9701,0.1402,1.3297,0.0271,0.5655,0.4252
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.9228,0.8511,0.8678,0.8284,0.8477,0.715,7.0194,0.5155,0.8338,0.1188
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.8287,0.7473,0.7505,0.7411,0.7458,0.3033,1.8868,0.1876,0.6454,0.3421
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.973,0.9107,0.903,0.9202,0.9115,0.0917,1.1978,0.0247,0.5552,0.4635
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.8181,0.7322,0.7388,0.7184,0.7285,0.0625,1.1375,0.069,0.5174,0.4548
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.983,0.9263,0.933,0.9187,0.9258,0.2878,0.5473,0.0556,0.348,0.6358
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.7291,0.663,0.6534,0.6944,0.6733,0.0923,0.8401,0.1532,0.485,0.5773
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,3,6,20,10000,0.7226,0.6693,0.6817,0.6353,0.6577,0.5915,0.2229,0.6344,0.1697,0.7611
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,3,6,20,10000,0.8079,0.7367,0.7604,0.6911,0.7241,0.3291,0.468,0.3732,0.2895,0.6186
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,3,6,20,10000,0.9573,0.8807,0.8867,0.8729,0.8797,0.2253,1.5937,0.1493,0.6049,0.3796
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,3,6,20,10000,0.9954,0.9651,0.9628,0.9676,0.9652,0.1871,0.6862,0.0196,0.4092,0.5963
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,3,6,20,10000,0.995,0.9697,0.9717,0.9676,0.9696,0.1655,1.3982,0.0089,0.5812,0.4157
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,3,6,20,10000,0.7331,0.676,0.6819,0.6598,0.6707,0.3902,2.3518,0.2799,0.6789,0.2887
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,3,6,20,10000,0.9855,0.9392,0.9465,0.9311,0.9387,0.1453,1.3467,0.0471,0.5646,0.4192
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,3,6,20,10000,0.8597,0.7722,0.7719,0.7729,0.7724,0.0789,0.8539,0.0738,0.4612,0.5401
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,3,6,20,10000,0.9787,0.9378,0.9567,0.9171,0.9365,0.4266,2.6006,0.1274,0.6931,0.2665
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_0_18_nodes_full_data.csv,3,16,0,20000,0.998,0.9779,0.9805,0.9752,0.9778,0.2209,0.6365,0.0154,0.3869,0.6079
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_1_18_nodes_full_data.csv,3,16,0,20000,0.9833,0.9299,0.9325,0.9271,0.9297,0.3256,1.9737,0.0291,0.66,0.3344
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_2_18_nodes_full_data.csv,3,16,0,20000,0.8511,0.7687,0.7815,0.7461,0.7634,0.5961,0.2306,0.5562,0.1786,0.7747
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_3_18_nodes_full_data.csv,3,16,0,20000,0.8856,0.7974,0.8147,0.77,0.7917,0.0097,1.0208,0.023,0.4774,0.4677
