model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.2499,0.2796,0.2829,0.2873,0.2851,0.0731,1.1552,0.3844,0.5443,0.4712
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.6723,0.6307,0.6201,0.6744,0.6462,0.1697,1.3701,0.1304,0.6284,0.4587
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.6174,0.5794,0.5644,0.6962,0.6234,0.1761,0.7502,0.183,0.5288,0.7048
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.6968,0.6308,0.6269,0.6462,0.6364,0.0499,0.9076,0.0861,0.4906,0.5405
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.6786,0.6619,0.6811,0.6089,0.643,0.0595,1.1425,0.0687,0.4766,0.4172
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.2867,0.4794,0.4068,0.0898,0.1471,0.1214,3.4346,0.1194,0.1712,0.0498
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.7255,0.5901,0.5538,0.9273,0.6935,0.0208,0.9755,0.0882,0.8268,0.8475
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,3,6,20,10000,0.6073,0.5456,0.5286,0.8416,0.6493,0.1097,0.871,0.1182,0.741,0.8507
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,3,6,20,10000,0.7273,0.6528,0.6145,0.8198,0.7025,0.1276,1.2115,0.0566,0.731,0.6033
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,3,6,20,10000,0.862,0.7394,0.7631,0.6944,0.7272,0.1224,1.3109,0.0602,0.5162,0.3938
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,3,6,20,10000,0.6357,0.6011,0.596,0.6278,0.6115,0.0114,1.0219,0.0561,0.5323,0.521
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,3,6,20,10000,0.944,0.8704,0.8906,0.8447,0.867,0.2926,1.8895,0.1979,0.6215,0.3289
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,3,6,20,10000,0.7184,0.6601,0.6978,0.5649,0.6243,0.2678,1.9885,0.1671,0.5387,0.2709
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,3,6,20,10000,0.7652,0.6967,0.7225,0.6387,0.678,0.3575,2.358,0.2691,0.6208,0.2633
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,3,6,20,10000,0.8608,0.7683,0.7449,0.8162,0.7789,0.0421,0.926,0.0444,0.5268,0.5689
