model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.9969,0.9659,0.9469,0.9871,0.9666,0.1129,1.2429,0.0005,0.5777,0.4648
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.9367,0.8279,0.7805,0.9124,0.8413,0.7173,4.1898,0.3817,0.9422,0.2249
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.8537,0.7539,0.7136,0.8482,0.7751,0.2822,1.6226,0.116,0.7354,0.4532
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.968,0.8919,0.961,0.8169,0.8831,0.0749,1.1934,0.0291,0.4623,0.3874
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.821,0.7216,0.6866,0.8153,0.7454,0.0258,1.0445,0.0321,0.6066,0.5808
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.9819,0.9228,0.9061,0.9433,0.9243,0.3268,0.5219,0.0769,0.3567,0.6834
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.7584,0.6869,0.6872,0.686,0.6866,0.0622,0.8826,0.1185,0.4678,0.53
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,3,6,20,10000,0.729,0.6761,0.7192,0.5778,0.6408,0.4946,0.2373,0.5507,0.1539,0.6485
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,3,6,20,10000,0.8369,0.7668,0.8076,0.7004,0.7502,0.4867,0.2805,0.4844,0.1898,0.6765
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,3,6,20,10000,0.9454,0.8659,0.8812,0.8458,0.8631,0.1042,1.2436,0.0019,0.532,0.4278
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,3,6,20,10000,0.9964,0.9687,0.9778,0.9591,0.9684,0.1835,0.685,0.0225,0.399,0.5825
