model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,9000,20,6139,2861,0.7546,4.1514,0.2209,0.9941,0.2395
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,19000,10,10802,8198,0.7404,5.4433,0.3151,0.9071,0.1666
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,19000,10,6824,12176,0.7454,0.234,0.2109,0.2277,0.9732
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,19000,10,8846,10154,0.8119,0.1323,0.1725,0.1238,0.9357
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,19000,10,10072,8928,0.7962,7.1073,0.152,0.9265,0.1304
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,19000,10,11543,7457,0.1239,0.7627,0.0778,0.3981,0.522
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,19000,10,5765,13235,0.7164,0.2491,0.4234,0.2376,0.954
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,19000,10,13000,6000,0.7166,0.0074,0.2519,0.0053,0.7219
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,19000,10,10116,8884,0.9046,12.2702,0.2373,0.9849,0.0803
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,19000,10,10300,8700,0.7721,6.4655,0.1546,0.9133,0.1413
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,19000,10,9090,9910,0.9014,0.059,0.2752,0.0565,0.9579
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,19000,20,11494,7506,0.5576,0.2362,0.2114,0.1724,0.7299
